id,booking_segment_record_id,name,email,phone_number,hotel,room_type,meal,country,booking_segment,business_label,target_month,target_year,discount_pct,offer_type,perks,amenities_used_before
f0718d3c-a811-4c56-a389-af73abdee1eb,ecf75971-f4b9-44dc-845d-7924dc6d0db1,Alexandra Campbell,ACampbell@hotmail.com,567-050-3799,City Hotel,A,BB,PRT,0,Group Deal Seekers,June,2026,12.0,Discount,"['gym', 'bar_credit', 'swimming_pool']","['gym', 'bar']"
d50a0223-021e-47cb-929d-72605122307f,aafe3a9d-4c97-43a2-8d42-94cc06c0e1c4,Amy Edwards,AEdwards@protonmail.com,731-293-2908,Resort Hotel,A,BB,GBR,2,Budget Online Travellers,October,2025,8.0,Discount,"['gym', 'swimming_pool']",[]
56febe42-b39a-4d52-b8d3-3f2b7d47b4f2,ee55f730-8a25-4a9c-b40f-68e88cc3b8c9,Anthony Hall,AHall@yahoo.com,406-889-4102,Resort Hotel,A,BB,ESP,2,Budget Online Travellers,December,2026,8.0,Discount,['gym'],['gym']
165523fc-8368-4726-9810-aa995a7689be,c7a7ac75-1160-499f-be2a-c04f184be06d,Ashley Parker,AParker@aol.com,603-445-7898,City Hotel,A,BB,GBR,2,Budget Online Travellers,March,2026,0.0,Perk,['gym'],['bar']
1ce70ed3-2235-40b5-8c85-8720a5cc4544,5d5861ed-a341-42ef-b355-76506b916173,Anna Parker,AParker@verizon.com,661-806-3314,City Hotel,A,BB,PRT,2,Budget Online Travellers,October,2025,8.0,Discount,['gym'],[]
ff438d17-97a7-453d-80cb-b1d5630c07ca,36567ef7-6493-4531-bce6-eac36166d289,Amanda Smith,ASmith@comcast.net,218-956-0697,Resort Hotel,A,BB,CN,2,Budget Online Travellers,October,2025,8.0,Discount,"['gym', 'swimming_pool']",['spa']
ace990bf-0838-4e45-970f-df1520ab432d,ffe0acb3-c749-4c58-bda0-ffbf95baa01b,Aaron Miller,AaronMiller@outlook.com,962-484-0060,Resort Hotel,A,HB,FRA,2,Budget Online Travellers,September,2026,0.0,Perk,['gym'],"['spa', 'gym']"
c12c47cb-f4a2-4470-8ebf-5e12dbf9b6c7,60d6b017-0070-494b-8552-4c03dabbdc8b,Jerry Abbott,Abbott.Jerry@outlook.com,471-102-1065,City Hotel,A,BB,DEU,2,Budget Online Travellers,October,2025,0.0,Perk,['gym'],['spa']
ca66bd6c-80b5-46a3-b011-7999dd9e7198,59bd0378-bf76-40d5-8dc1-4815682787b9,Adam Porter,Adam_P@comcast.net,390-854-7341,City Hotel,A,BB,DEU,3,Frequent Work Travelers,July,2026,5.0,Discount,"['gym', 'work_desk']","['gym', 'bar']"
3dcd1449-dc1a-406a-ae0a-ad6bc41d8a0d,0ff3e926-a621-4b0a-9a48-92c6f95970a5,Jonathon Aguilar,Aguilar.Jonathon@yandex.com,832-867-9133,Resort Hotel,A,BB,GBR,2,Budget Online Travellers,September,2026,8.0,Discount,['gym'],"['spa', 'gym']"
fc704a97-3bd6-4eab-a06e-9f75e1d0f3b7,012f3d67-9124-4d10-a895-dd84f793920a,Alexander Davidson,Alexander.Davidson13@zoho.com,263-345-8201,City Hotel,A,BB,FRA,2,Budget Online Travellers,June,2026,0.0,Perk,['gym'],"['gym', 'bar']"
6ec7c09a-afce-48fb-995c-bece682c8b63,570b2c5c-622c-4841-b683-c342e3d0dffb,Alexander Jackson,Alexander.J@yandex.com,356-442-1941,Resort Hotel,A,BB,PRT,4,Loyal Niche Guests,February,2026,4.0,Discount,"['gym', 'spa', 'bar_credit']","['gym', 'bar', 'work_desk']"
1a22ef11-9f4c-4ba7-a100-571f0b1973b3,1e338125-87a7-4311-9a63-c218cedb6e80,Alexis Bailey,Alexis.B@xfinity.com,927-824-4884,City Hotel,A,BB,MLT,3,Frequent Work Travelers,April,2026,7.0,Discount,"['work_desk', 'meeting_room']",['bar']
42d20018-e6df-4b91-8d28-ca55444e85d2,d2367b9e-d107-4f46-897e-f0cb87fc9030,Alexis Dennis,Alexis.D@xfinity.com,992-912-1156,City Hotel,A,BB,FRA,2,Budget Online Travellers,March,2026,0.0,Perk,['gym'],"['spa', 'gym', 'bar']"
dd0fd3d6-6c51-4397-9106-710226eae59f,901f821a-3cfc-48e5-a63b-c374347089ca,Alicia Guerra,AliciaGuerra@comcast.net,864-846-0353,City Hotel,D,BB,FRA,2,Budget Online Travellers,July,2026,0.0,Perk,['gym'],"['spa', 'gym', 'bar']"
7d4067c2-27c8-4619-bdab-e7dd89230263,25707e60-59b4-48fd-863d-e2eef1068989,Alisha Burnett,Alisha_Burnett@att.com,474-157-5760,Resort Hotel,D,BB,PRT,3,Frequent Work Travelers,December,2025,5.0,Discount,"['work_desk', 'gym']","['spa', 'bar']"
359e04aa-4a11-4fd1-b4b4-cdf282e2bb3c,86205386-dff9-4a4f-81c7-e8c7981b3948,Allison Tran,Allison.Tran@aol.com,838-695-0078,City Hotel,A,BB,ESP,2,Budget Online Travellers,October,2025,0.0,Perk,['gym'],[]
86f7c453-226e-49a0-910f-f480f16c11a2,096f2dad-cce4-4547-8375-ad2451fc5871,Amanda Lee,AmandaLee@zoho.com,120-094-3534,City Hotel,A,BB,PRT,2,Budget Online Travellers,October,2025,0.0,Perk,['gym'],['gym']
ab10c5a3-819e-4006-b23b-a05e60d84110,77ce5a99-88b7-4361-b864-17078926f076,Amanda Burgess,Amanda_Burgess@outlook.com,606-041-9457,City Hotel,A,BB,PRT,2,Budget Online Travellers,January,2026,0.0,Perk,['gym'],[]
a0df009d-d67d-4367-9823-bfc17937d069,740ba9b0-9a99-4809-8050-1f4964225d52,Amy Andrade,Amy.A85@verizon.com,262-158-1844,City Hotel,A,BB,SWE,4,Loyal Niche Guests,June,2026,5.0,Discount,"['gym', 'spa']","['gym', 'bar', 'work_desk', 'meeting_room']"
74c84941-45b0-4373-9f51-4834cd9c3f0c,3e484edc-aa35-4479-bd8d-a06f98d1ecca,Amy Allen,Amy.Allen64@hotmail.com,319-655-3242,City Hotel,D,BB,ISR,0,Group Deal Seekers,March,2026,10.0,Discount,"['bar_credit', 'swimming_pool']",['bar']
7c0cfca5-f6a2-4fab-a5a8-7d82160bf01d,870c2dc2-0379-4831-bb5b-1a7ac824b3c6,Amy Wheeler,Amy.Wheeler91@zoho.com,428-474-2500,City Hotel,A,BB,FRA,2,Budget Online Travellers,October,2025,0.0,Perk,['gym'],[]
12bf6dc3-f8b1-46ed-a21c-a111b91331cf,3981abf9-4c76-49e2-b995-4ca95a7ab252,Amy Krause,Amy_Krause@mail.com,504-188-2285,Resort Hotel,H,BB,PRT,2,Budget Online Travellers,December,2026,0.0,Perk,['gym'],"['spa', 'bar']"
967b9487-3b1e-45d3-885b-bb21323a96ce,a343b16d-296b-4c33-8d4b-7ad86caadb29,Ana Hamilton,Ana_Hamilton@comcast.net,599-220-0297,City Hotel,A,SC,NLD,2,Budget Online Travellers,November,2025,0.0,Perk,['gym'],[]
dbff47b4-6c05-486b-ae6c-137c03687a71,098dc8b5-11bc-464c-ae37-42342ce4a547,Ashley Anderson,Anderson.Ashley@yahoo.com,553-683-8588,City Hotel,A,BB,ESP,2,Budget Online Travellers,December,2026,8.0,Discount,['gym'],['bar']
328a37c3-3476-4f99-87ba-d26b95d2923c,1f5177a9-3f5d-43ee-b39a-ca6e41ec5886,Andre Scott,AndreScott@xfinity.com,392-357-3734,City Hotel,D,BB,SWE,2,Budget Online Travellers,July,2026,0.0,Perk,['gym'],[]
1ff5bde5-616a-48f0-9bef-82d784fa6981,88a689c1-a2d6-434f-be80-8fdcde987907,Andrea Flowers,Andrea_Flowers@verizon.com,412-219-1702,City Hotel,D,BB,IRL,2,Budget Online Travellers,March,2026,0.0,Perk,['gym'],[]
a12bedd9-2d55-48f8-8cd3-55a242931b5a,5d7eee37-b78b-4e44-ba83-9bea626fd507,Andrea Kennedy,Andrea_K15@zoho.com,425-882-5972,City Hotel,D,BB,DEU,2,Budget Online Travellers,March,2026,0.0,Perk,['gym'],"['spa', 'bar']"
e5c0527e-383b-478d-be5f-7b4eb08db118,455c70c6-9807-444a-8b3f-fc54da4231cf,Andrea Payne,Andrea_P@yandex.com,413-493-4714,City Hotel,A,BB,GBR,2,Budget Online Travellers,June,2026,0.0,Perk,['gym'],"['spa', 'gym', 'bar']"
